JobTitle,Salary,CompanyName,CompanyRating,JobLocation,Summary,Date
Engineer/Snr Engr - WLR Data Analytics & Automation,nan,Micron,3.8,"Hyderabad, Telangana","Work with an international team of Product, Quality and Probe engineers to develop new data science solutions that improve Wafer Level quality & reliability…",Just posted
Big Data Engineer,500000 - 1200000 a year,BDI Plus,nan,"Bengaluru, Karnataka","This position is responsible for developing, implementing and maintaining *Java and Big data based Products and components for the Big data science enabled…",7 days ago
Python Based ERP Developer,17674 - 40000 a month,Uniexperts Ltd,nan,"Ramapurampdur, Tamil Nadu",Delta data lake knowledge is a plus.,6 days ago
Data Scientist,800000 - 1200000 a year,Muthoot Micorfin Ltd,nan,"Ernakulam, Kerala",Extensive data modelling and data architecture skills.,21 days ago
Analytics and Data science,nan,Angel broking,3.8,"Mumbai, Maharashtra",Perform data analysis through tableau and other data source and tools.,30+ days ago
Manager - Data Science,nan,TATA Capital,4.1,"Mumbai, Maharashtra","Expertise in extracting, collating, performing data integrity checks, manipulating and analysing data.",30+ days ago
Data Engineer,600000 a year,DXFactor Solutions Pvt Ltd,nan,"Ahmedabad, Gujarat",Quick POC/MVP on upcoming big data technologies to continuous improvement of data pipelines.,30+ days ago
Assistant Manager - Data Science,nan,Vreedhi Financial Services,nan,"Hyderabad, Telangana","O Explore data for insights, use statistical analysis and machine learning algorithms to identify relationships and trends in data and support business decision…",30+ days ago
Data Scientist,nan,ALSTOM,4.0,"Bengaluru, Karnataka",Knowledge in data mining and data engineering techniques.,20 days ago
Data Analyst,nan,Prevalent AI,nan,"Kochi, Kerala","Providing technical expertise on data storage structures, data mining, and data cleansing.",3 days ago
Data Science Developer,nan,Ajira AI,nan,"Pune, Maharashtra","You keep up to date with what’s happening in the data science world and know the differences between classification, regression, clustering and time series.",30+ days ago
Junior Data Analyst,nan,Cognizant,3.9,"Kolkata, West Bengal",Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.,13 days ago
Data Science Developer,nan,Ajira AI,nan,"Pune, Maharashtra","You keep up to date with what’s happening in the data science world and know the differences between classification, regression, clustering and time series.",30+ days ago
Junior Data Analyst,nan,Cognizant,3.9,"Kolkata, West Bengal",Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.,13 days ago
Machine Learning Course And Internship Program,100000 a year,Pianalytix Edutech Pvt Ltd,nan,"Hyderabad, Telangana",Pianalytix Edutech Pvt Ltd Is offering training and internship programs on.,22 days ago
"Sr Analyst, Data Science and Analytics",nan,TransUnion,3.8,"Chennai, Tamil Nadu","We provide a modern computing environment based on best-in-class ""big data"" and cloud computing technologies and the freedom to explore new data sources and…",Today
Data Scientist - CTC 15 to 20 lacs,1500000 - 2000000 a year,Doji Ltd,nan,Remote,"Build overall data capability of our organisation by performing complex data processing, building data pipelines and developing data products which can be…",22 days ago
Data Science Intern,7000 - 8000 a month,newAmps Consulting,nan,"Kolkata, West Bengal",Stipend As per the industry standard.,30+ days ago
Engineering Manager – Data Science & Machine Learning,nan,BookMyShow,4.2,"Mumbai, Maharashtra",Experience in handling large volumes of multidimensional data or unstructured data.,9 days ago
Data Scientist,nan,Arista Networks,4.1,"Bengaluru, Karnataka",Two years of experience in data science/AI technologies.,30+ days ago
Product Specialist - Onco - Kolkata,nan,Novartis,4.1,"Kolkata, West Bengal",Where you’re given opportunities to explore the power of digital and data.,6 days ago
Senior Process Executive-Data,nan,Cognizant,3.9,"Chennai, Tamil Nadu",Record attendance and time sheet related data.,Today
Data Scientist Developer,175000 - 475600 a year,Safaltek Software Pvt. Ltd.,3.9,"Mohali, Punjab",Job Title: * Data Science Developer.,1 day ago
Data Engineer - QA,300000 - 800000 a year,Frugal Testing,nan,"Gachibowli, Hyderabad, Telangana",• Analyze source systems & unify data to meet end-user data requirements • Able to take raw data & model/transform it to cater to reporting requirements •…,5 days ago
Machine Learning,1500000 - 2000000 a year,Xpheno,nan,"Bengaluru, Karnataka",Experience building large scale data processing pipelines.,10 days ago
Data Engineer,nan,MasterCard,4.1,"Pune, Maharashtra",Act as an expert data resource within the team.,1 day ago
Data Science | 2 to 4 years | Bengaluru & Hyderabad,nan,Capgemini,3.8,"Hyderabad, Telangana","Hands on experience in Python, PySpark, MLib, Spark/Mesos.",10 days ago
Process Experts - Opportunity to Cash-Data Analyst,nan,Siemens Technology and Services Private Limited,4.0,"Bengaluru, Karnataka",Proven working experience as business data analyst.,1 day ago
Data Analyst / Data Science Intern,nan,FutureWagon,nan,"Bengaluru, Karnataka",This role would require the ability to manipulate vast data into meaningful decision-making data.,30+ days ago
Data Scientist –Technology,nan,Anlage Infotech,4.0,"Bengaluru, Karnataka","Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns.",2 days ago
Data Science Developer,nan,Safaltek,nan,Meghalaya,Data Science Developer Apply Job.,30+ days ago
Data Administrator - Remote Position,32000 - 58000 a month,StartUs Insights,nan,Remote,Clean and update data accumulated in the databases.,9 days ago
Engineer/Snr Engr - WLR Data Analytics & Automation,nan,Micron,3.8,"Hyderabad, Telangana","Work with an international team of Product, Quality and Probe engineers to develop new data science solutions that improve Wafer Level quality & reliability…",Just posted
Big Data Engineer,500000 - 1200000 a year,BDI Plus,nan,"Bengaluru, Karnataka","This position is responsible for developing, implementing and maintaining *Java and Big data based Products and components for the Big data science enabled…",7 days ago
Python Based ERP Developer,17674 - 40000 a month,Uniexperts Ltd,nan,"Ramapurampdur, Tamil Nadu",Delta data lake knowledge is a plus.,6 days ago
Data Scientist,800000 - 1200000 a year,Muthoot Micorfin Ltd,nan,"Ernakulam, Kerala",Extensive data modelling and data architecture skills.,21 days ago
Analytics and Data science,nan,Angel broking,3.8,"Mumbai, Maharashtra",Perform data analysis through tableau and other data source and tools.,30+ days ago
Assistant Manager - Data Science,nan,Vreedhi Financial Services,nan,"Hyderabad, Telangana","O Explore data for insights, use statistical analysis and machine learning algorithms to identify relationships and trends in data and support business decision…",30+ days ago
Data Scientist,nan,ALSTOM,4.0,"Bengaluru, Karnataka",Knowledge in data mining and data engineering techniques.,20 days ago
Data Analyst,nan,Prevalent AI,nan,"Kochi, Kerala","Providing technical expertise on data storage structures, data mining, and data cleansing.",3 days ago
Data Science Developer,nan,Ajira AI,nan,"Pune, Maharashtra","You keep up to date with what’s happening in the data science world and know the differences between classification, regression, clustering and time series.",30+ days ago
Junior Data Analyst,nan,Cognizant,3.9,"Kolkata, West Bengal",Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.,13 days ago
Machine Learning Course And Internship Program,100000 a year,Pianalytix Edutech Pvt Ltd,nan,"Hyderabad, Telangana",Pianalytix Edutech Pvt Ltd Is offering training and internship programs on.,22 days ago
"Sr Analyst, Data Science and Analytics",nan,TransUnion,3.8,"Chennai, Tamil Nadu","We provide a modern computing environment based on best-in-class ""big data"" and cloud computing technologies and the freedom to explore new data sources and…",Today
Data Scientist - CTC 15 to 20 lacs,1500000 - 2000000 a year,Doji Ltd,nan,Remote,"Build overall data capability of our organisation by performing complex data processing, building data pipelines and developing data products which can be…",22 days ago
Data Science Intern,7000 - 8000 a month,newAmps Consulting,nan,"Kolkata, West Bengal",Stipend As per the industry standard.,30+ days ago
Engineering Manager – Data Science & Machine Learning,nan,BookMyShow,4.2,"Mumbai, Maharashtra",Experience in handling large volumes of multidimensional data or unstructured data.,9 days ago
Machine Learning Trainee,20000 - 30000 a month,ABI Health Technologies,nan,"Bengaluru, Karnataka",Study and transform data science prototypes.,22 days ago
"Technology head Data science, data analytics background",nan,Truedge Software Solutions,3.7,"Hyderabad, Telangana","Data science, data analytics background preferred.",30+ days ago
Business Analyst - Data Science,nan,Sitel,3.5,"Mumbai, Maharashtra","Design, Develop, Test and Deploy the E2E RPA solution as per the operational needs of clients.",22 days ago
Data Science,nan,XenonStack,2.5,"Mohali, Punjab",We are searching for top talent that will help solve some of the most challenging problems in the IT world using data science methodologies.,30+ days ago
Data Science,nan,AdmyBrand,nan,"Bengaluru, Karnataka",Extending company's data with third party sources of information when needed.,30+ days ago
Machine Learning Engineer/ Data Scientist,nan,Dürr AG,nan,"Noida, Uttar Pradesh","This includes data processing, data exploration, ML model development & training as well as the deployment.",13 days ago
Chief Data Science officer,nan,RedLotus,nan,"Mumbai, Maharashtra","Responsible for areas such as data quality, data governance, master data management, information strategy, data science, and business analytics.",30+ days ago
Data Engineer,nan,Disprz,nan,"Andheri, Mumbai, Maharashtra",Minimum 1 year experience in data analysis or data science or data engineering.,3 days ago
